Uniprot.ID,V_log2.i._TMT_1,V_log2.i._TMT_3,V_log2.i._TMT_5,V_log2.i._TMT_7,V_log2.i._TMT_9,D_log2.i._TMT_2,D_log2.i._TMT_4,D_log2.i._TMT_6,D_log2.i._TMT_8,D_log2.i._TMT_10
Q13627,21.95027147,21.9413028,21.9730099,22.04016673,21.95119611,22.88525094,22.92414337,22.87253979,22.9074984,22.83952353
Q9BRS2,22.69493435,22.68956904,22.75412656,22.72084161,22.68044297,23.2025496,23.16090233,23.17456088,23.09289175,23.09002275
P49336,19.08560218,19.33682477,19.4403283,19.39783065,19.11969203,20.23988225,20.30489996,20.23423002,20.10075149,20.17847603
P50750,20.42490983,20.39025051,20.34242245,20.2433066,20.22934643,20.79914057,20.93140633,20.76099596,20.79014333,21.03066607
Q9Y6M4,19.03126516,18.95908856,18.96019189,18.93715696,18.85208676,19.23939561,19.32631408,19.27985438,19.3015694,19.27540652
P49137,21.76411777,21.77316557,21.68485457,21.62563258,21.62693988,21.90719265,21.94438724,21.84221113,21.89369394,22.0521254
O75676,21.53750647,21.45302402,21.49941177,21.46225809,21.4646281,21.30179132,21.24476149,21.36695635,21.34110405,21.12445242
Q96SB4,22.83017057,23.03116906,22.93564129,22.71008501,22.60954238,23.13259948,23.36576761,23.15426579,23.12487885,23.41550049
P17252,18.62832705,18.77644913,18.63732797,18.40407585,18.41639388,18.90623666,19.01832221,18.85131263,18.75788432,19.19281707
P78362,20.07896541,20.18969485,20.10373478,20.00392082,19.85659587,20.28137983,20.44176478,20.23664312,20.21700547,20.46209612
Q99986,20.19707821,20.40687109,20.35490415,19.90561938,19.89920547,20.51437866,20.76099596,20.61609198,20.48500245,20.83085561
P78527,24.71286816,24.8766261,24.8491281,24.70446062,24.65485665,24.90618212,25.04009098,24.9488989,24.92413728,25.11387082
P48729,19.26631278,19.47546669,19.49124477,19.2941176,19.12284839,19.66000174,19.87934472,19.72997106,19.51289026,19.81840741
Q96KB5,23.22646515,23.40288236,23.31134939,23.22997198,23.16410538,23.41707876,23.48749444,23.38851349,23.38565168,23.45447134
P41240,21.06321602,21.18905836,21.18839408,21.15454241,20.94676071,21.28094161,21.34952806,21.25410749,21.28094161,21.41028426
Q6P3R8,21.29176114,21.37415356,21.32398065,21.37506107,21.32345988,21.25766241,21.19670579,21.25958896,21.20809415,21.06439634
P19784,21.88263253,21.91850332,21.90111956,21.80339746,21.80339746,21.9730099,22.1030384,21.94908577,21.9613918,22.05882829
P10398,19.59820756,19.70435626,19.61685999,19.55899333,19.41764085,19.77282633,19.76958729,19.69500611,19.72271383,19.85045975
O14578,19.32331391,19.1554095,19.16494864,19.14716038,19.14249445,19.37472522,19.32095965,19.28208904,19.32095965,19.37856174
Q9P2K8,18.96374588,18.88680476,18.91878037,18.78408922,18.74058329,19.02276811,19.07184786,18.9744657,19.11767155,19.05126497
Q9H792,18.75122504,18.79173724,18.84714862,18.80433163,18.88331355,18.6888718,18.50905904,18.65713545,18.75122504,18.44076615
Q00535,20.73723523,20.82459764,20.75284262,20.70902012,20.59655188,20.91205048,20.9439199,20.84801025,20.83914421,20.93045578
Q16512,22.2681321,22.37339958,22.38117698,22.28339332,22.11264385,22.49835225,22.59244125,22.42009824,22.42316309,22.6022637
Q9BVS4,21.71189194,21.85981342,21.76411777,21.66291446,21.67316164,21.83774643,21.94908577,21.82548733,21.84919357,21.96364588
P49674,15.89070985,16.17645453,16.15444895,15.93999043,15.79917975,16.43376661,16.25149862,16.42225033,16.08526765,16.32174829
P05771,23.65797846,23.76086929,23.76511834,23.7109899,23.49813688,23.9126365,23.94174365,23.84633405,23.76344968,23.95135351
P25098,20.8869385,21.02941013,20.9235041,20.847122,20.73845578,21.14186227,21.17666063,21.00989562,20.99416652,21.2238634
Q99570,20.49621548,20.44301056,20.43621953,20.42160073,20.30949887,20.56577805,20.65485386,20.58859552,20.47669835,20.61860483
O15021,19.49322124,19.45821069,19.40541037,19.53807923,19.68884986,19.37633335,19.27341476,19.36649678,19.39006243,19.30554133
Q9UIG0,23.69600853,23.84759655,23.69446083,23.55039221,23.58964548,23.7403632,23.93076438,23.77551387,23.83642011,24.04710647
Q9H2G2,23.39305954,23.52697471,23.52744105,23.456697,23.29581075,23.60011191,23.63985875,23.57906563,23.50746671,23.66151438
O14920,20.09082369,20.04741791,20.04910478,19.91687258,19.82981488,20.13019563,20.19427506,20.03011265,20.12751927,20.15741698
Q5VT25,18.77468716,18.91148814,18.80653197,18.62146185,18.71340995,18.81378574,18.95908856,18.87293458,18.87293458,19.00316375
Q13177,27.20497324,27.18474577,27.14781987,27.15814809,27.21226062,27.10266813,27.0986841,27.121845,27.0986841,27.02308677
O00418,20.76919712,20.75677794,20.7305931,20.75841361,20.71027048,20.83753844,20.9549647,20.82924202,20.82924202,20.9418226
Q96S44,23.76941271,23.79441265,23.73156789,23.73402219,23.80205048,23.72014691,23.70317039,23.6560554,23.65017603,23.62328534
P07947,22.72946489,22.74643401,22.77331352,22.76093384,22.70734932,22.83321219,22.88642554,22.79104623,22.79552231,22.85455011
O95747,24.0435391,24.09859329,24.04951782,24.00862821,23.91376671,24.14264582,24.17445818,24.09799371,24.14163318,24.15739984
P21675,18.64876284,18.63385198,18.64876284,18.61534282,18.61294807,18.53399384,18.48112421,18.5502155,18.45343239,18.49075433
Q9H2K8,21.536528,21.56783871,21.61861612,21.48718941,21.55210454,21.63967998,21.71073511,21.68485457,21.59962246,21.77149185
Q8TD08,23.64133692,23.50863542,23.48107858,23.55778539,23.65309007,23.51170209,23.39637943,23.42458081,23.40797105,23.45543764
Q05397,22.59417754,22.65338173,22.61567317,22.54303325,22.70308109,22.44797188,22.45945423,22.56501672,22.53535716,22.51747308
Q13464,22.491061,22.55664548,22.54784675,22.52189341,22.43237997,22.66100614,22.66267135,22.58314731,22.55506964,22.66959002
P53350,21.66928375,21.75177118,21.7585811,21.79644541,21.67051337,21.71770129,21.98118563,21.88527151,21.85125956,21.86161418
Q96PY6,20.13019563,20.03976821,20.03216126,19.95152812,20.14266531,19.95821085,19.92306116,19.9422815,19.93945846,19.82981488
Q15831,21.93083596,21.91766956,21.97203384,21.9038406,22.01384761,21.88418855,21.84019165,21.8925045,21.88830392,21.76320853
Q8WZ42,22.86836622,22.95660405,22.9169064,22.88525094,22.90582179,22.74065201,22.66592,22.75280375,22.96079043,22.69092421
O75116,23.15426579,23.18722705,23.18851632,23.14694805,23.06753885,23.26591418,23.27334353,23.20820549,23.19457001,23.23512581
Q13188,21.98693857,22.00952032,22.00876887,22.03504761,22.01073211,21.9632578,21.97928741,21.98067819,21.92088,21.87899073
P27361,19.39280608,19.4315432,19.30554133,19.42777234,19.43264581,19.46983893,19.46722523,19.42548679,19.5633369,19.54759179
P51956,20.65143264,20.70706689,20.67088797,20.66329398,20.74094111,20.60290685,20.6498069,20.6117317,20.6373241,20.59561675
Q8IV63,19.38896385,19.27837667,19.28208904,19.24828811,19.28208904,19.2315391,19.25825159,19.20507971,19.16494864,19.18909725
P50613,23.59710918,23.49007157,23.46691954,23.51302011,23.56881638,23.43522989,23.44268286,23.4461208,23.49007157,23.45838801
P23443,19.47431072,19.50261136,19.55288301,19.47546669,19.42912406,19.63019322,19.74490705,19.58619663,19.47431072,19.63249253
Q9UHD2,17.44106297,17.57055629,17.64618458,17.59038052,17.51636689,17.72102226,17.66955112,17.67948855,17.55329196,17.80677694
Q8IVT5,20.40451869,20.4260332,20.33931218,20.28081792,20.25300214,20.48090061,20.53581676,20.36296398,20.42490983,20.56950891
Q08345,21.02342734,21.16363602,21.14114327,21.02724331,20.85995776,21.23006783,21.38841258,21.17857849,21.12893638,21.23358474
Q02750,23.69600853,23.80554252,23.79306234,23.7403632,23.63825839,23.86436446,23.92095481,23.88200317,23.72692129,23.92769742
P00519,21.06635754,21.11328991,20.98311495,21.02941013,20.96712165,21.13446673,21.1389688,21.03790183,21.0924157,21.13547687
Q9Y6E0,23.20626718,23.21455369,23.17456088,23.12611417,23.11832101,23.26711351,23.23163863,23.20714793,23.16320199,23.36320527
Q96KG9,19.38744214,19.37994744,19.52672016,19.33303418,19.37114039,19.44636102,19.47431072,19.53104465,19.48752053,19.47771992
Q16659,20.36296398,20.31053739,20.24470488,20.20068079,20.33450617,20.26141728,20.17847603,20.18627797,20.16378428,20.12394764
Q05823,18.36963675,18.33887361,18.34897429,18.37156237,17.98410842,18.44750751,18.46482134,18.40407585,18.41490676,18.50905904
P51812,22.72507953,22.84472019,22.80920962,22.75412656,22.52416012,22.91830534,22.94291141,22.86641774,22.78273123,22.92033741
